关于**洪九果品**和**都乐（Dole）** 是否对小批量（如夫妻店级别）供货，结论如下：

**1. 洪九果品（Hongjiu）**
- **结论：一般不直接小批量供货。**
- 洪九果品的主营模式是**“端到端”大宗分销**，主要面向大型商超（如永辉、盒马）、批发市场二级经销商以及连锁果切店，其最小起订量通常以**整车（挂车）**或**整柜（冷链集装箱）**为单位。
- **夫妻店实际进货渠道**：绝大多数夫妻店是通过**当地水果批发市场的一级/二级批发商**拿货，而这些批发商很可能从洪九进货。所以对店主来说，洪九是小批量货源的**上游供应商**，但不会直接对接。

**2. 都乐（Dole）**
- **结论：不直接小批量供货，但有“城市服务商”体系。**
- 都乐是进口及高端水果品牌，其渠道分为两块：一是**KA大卖场（沃尔玛、山姆等）直供**；二是**授权城市经销商/二级分销商**。这些分销商有时会根据需求拼凑小批量给社区生鲜店或精品水果店。
- **夫妻店实操建议**：在本地找一个**做进口水果的二级批发商**（通常在城市水果批发市场有档口），告知他们你要“都乐品牌”的香蕉、菠萝或蓝莓，让他们按箱/按件为你拼单，**起订量可以低到1-2箱**，但价格会高于批发市场大宗价。

---

**给你的可执行建议（如果你经营夫妻店）：**
- **不要尝试直接联系厂家/品牌方**，他们不会理睬，除非你月采购额达到数万元。
- **正确路径**：去你所在城市的**果品批发市场**（如广州江南市场、北京新发地、上海辉展等），找到挂着“洪九”“都乐”招牌或销售其同款产品的档口，直接拿货。这些档口通常支持**一箱起批**，完全可以满足小批量需求。
- **替代方案**：如果担心价格，可以寻找本地**水果供应链平台**（如美菜、快驴进货、果琳等）上的B2B端，它们有时会提供小件整箱的都乐/洪九产品，且支持次日送达。

**风险提示**：不要轻易相信网络上“厂价直供小批”的广告，尤其是需要预付全款的，谨防诈骗。建议先小单试合作，确认货源稳定后再扩大。
