超市采购如果担心水果农残抽检，建议在采购前/合同中向供应商索取并核验以下资料，重点看“可追溯+可验证+可追责”：

1. **主体资质**
- 营业执照
- 食品经营许可证/食品生产许可证（按供应商类型）
- 若是种植基地直供：合作社/农场资质、负责人信息

2. **产品合格证明**
- 该批次水果的**出厂检验报告/自检报告**
- 第三方检测机构出具的**农残检测报告**
- 报告要能对应：品名、批次/采收日期、检测项目、检测方法、结论、报告编号、检测日期

3. **快检/抽检记录**
- 供应商或产地的农残快检记录
- 若超市自己做快检，也要保留留样和记录
- 重点看是否覆盖：有机磷、氨基甲酸酯类等常见农残项目

4. **承诺与溯源文件**
- 质量安全承诺书
- 产地证明/供货证明
- 批次追溯信息：产地、采收时间、加工/包装时间、运输记录
- 承诺“检出不合格可退换并承担检测费用/损失”的条款

5. **合同与责任条款**
- 明确农残标准：符合 GB 2763 等国家限量要求
- 明确抽检不合格的处理：退货、销毁、赔偿、解约
- 明确供应商配合复检、提供同批次留样
- 明确因农残问题导致监管处罚或消费者索赔时的责任承担

6. **留样与凭证**
- 每批次留样，保存到保质期后一定期限
- 索取并保存：送货单、发票、检测报告、快检记录、聊天/邮件确认
- 最好让供应商在送货单上写明批次号，便于追责

**实操建议：**
- 不要只要一张“合格证”，要**批次对应的检测报告**。
- 报告上的日期、批次、品名必须和到货一致。
- 对新供应商、高风险水果（如草莓、葡萄、豇豆等）提高抽检频率。
- 如果供应商拿不出批次检测报告，至少要有快检记录+书面承诺，并自行抽检。
- 合同里写清楚：抽检不合格，供应商承担退货、检测费、罚款及连带损失。

一句话：要“资质+批次检测报告+溯源记录+责任条款”，并且能对得上这批货。
