找每天配送的水果供应商，社区超市重点看这几类条件，按优先级排查：

1. **配送能力**
   - 能否真正做到每天送，而不是“下单后48小时”。
   - 固定送达时间是否稳定，比如早上6—8点前到店，方便开门前上架。
   - 临时加单、补货、换货是否支持，响应时间多久。
   - 配送范围是否覆盖你店，起送量多少，运费怎么算。

2. **货源与品类**
   - 是否有稳定产地或一级批发渠道，不是当天从二级市场转手。
   - 常卖品类是否齐全：苹果、香蕉、橙子、梨、西瓜、时令果等。
   - 能否按你的销量做小批量多频次配送，而不是压大货。
   - 是否支持指定规格、成熟度、包装方式。

3. **价格与结算**
   - 报价是否含运费、装卸费、损耗补贴。
   - 价格随行就市时，调价频率和通知方式是否透明。
   - 是否支持月结、周结，押金或账期条件。
   - 同等品质下多找2—3家比价，避免单一依赖。

4. **品质与损耗**
   - 坏果、烂果、次果的退换标准是什么，多久内可退。
   - 损耗率大概多少，是否补货或折价。
   - 是否提供质检、农残检测或产地证明。
   - 先小批量试单，连续试一周看稳定性。

5. **稳定性与风险**
   - 供应商是否有冷库、分拣场地、配送车辆。
   - 节假日、天气异常时能否保供。
   - 是否只做你一家还是同时服务很多店，旺季会不会优先保大客户。
   - 合同里写清配送时间、品质标准、退换规则、违约处理。

6. **合作前的实操建议**
   - 先让对方送3—7天小单，记录到货时间、损耗、退换速度。
   - 要求提供近期供货案例或带你去看分拣点。
   - 不要只谈单价，要算“到店可售成本”：进价+运费+损耗+退换损失。
   - 至少保留一个备选供应商，防止断供。

简单判断：**能每天准时送、坏果敢退、价格透明、旺季不断供**的，基本可以进入试合作；只满足其中一两条的，先别签长期。
