酒店在采购水果盘原料时，供应商应严格保证以下**规格标准**和**外观标准**，以确保出品质量、食品安全和摆盘美观：

---

## 一、规格标准（分级、尺寸、成熟度）

1. **分级明确**  
   - 每批次须注明等级：特级、一级或二级，不允许混级发货。
   - 同批次果实大小应基本一致（例如：草莓单果直径≥2.5cm，蓝莓直径≥12mm）。

2. **尺寸/克重统一**  
   - 供应方需按合同约定提供规定单果重量或直径范围（如：西瓜需注明单瓜重量，哈密瓜需注明糖度及果径）。
   - 水果净重、包装数量抽检误差应≤±5%。

3. **成熟度适中**  
   - 送货时果实应处于**八至九成熟**，便于后厨当天或次日使用。
   - 硬果（如苹果、梨）不得过生或过熟；软果（如芒果、猕猴桃）必须在48小时内可达到食用状态，避免催熟剂残留。

4. **无农残超标**  
   - 提供当批次农残检测报告或产地合格证明（可溯源性文件）。

---

## 二、外观标准（新鲜度、完整性、洁净度）

1. **新鲜无损伤**  
   - 无腐烂、无霉变、无软化塌陷、无流汁渗水现象。
   - 表皮无外力机械伤、撞击疤痕，切面类水果（如菠萝、蜜瓜）不得现切后配送。

2. **颜色与光泽**  
   - 色泽自然、均匀，符合该品种应有颜色（如：番茄需红亮均匀，葡萄应果粉明显）。
   - 不得使用染色剂或打蜡过度掩饰瑕疵。

3. **形状与果面**  
   - 果形端正，无畸形果、无开裂、无裂口。
   - 果面干净，无泥土、无虫眼、无病斑、无干疤、无褐色木栓化区域（苹果、梨重点检查）。

4. **切口/叶柄状态**  
   - 若带顶部叶片（如菠萝），叶片须新鲜挺直，根部切口平整无褐变。
   - 果蒂（如芒果蒂）应无腐烂发黑迹象。

---

## 三、消毒与包装标准

1. 表面无残留农药、无蜡质污染物，进口水果需有中文标签及入境检疫证书。
2. 包装内无冰水残留、无挤压变形，纸箱或保鲜盒须清洁、无油污、无异味。
3. 每批次需附明细单：品种、数量、产地、采摘日期，并进行冷链（4℃±2℃）运输。

---

## 四、验收建议（供酒店采购执行）

1. **每批次开箱抽查**，抽检比例不低于总量30%；
2. **对不合格果实执行退换货条款**，若腐烂率超过1%，整批次拒收；
3. **建立台账**，记录供应商、批次号、到货时间，以备溯源。

> 特别提醒：上述标准需以双方签订的采购合同或《水果验收标准》为依据，可在合同中附件形式明确执行细则，避免口头约定导致争议。
