在便利店售卖菠萝切块，**保质期、包装和配送频次三者都重要，但优先级和细节不同**。建议按以下顺序重点关注：

1. **保质期（最关键，决定食品安全和损耗）**
   - 菠萝切块属于高水分、高糖分水果，极易氧化变质和滋生细菌。
   - 必须设置**明确的保质期标签**（建议从包装完成时间起算，冷藏条件下**不超过24小时**，夏季建议12小时内），并执行“先进先出”。
   - 当天未售完的必须**报废**，不能次日复售，否则客诉和食安风险极大。

2. **包装（直接决定货架期和卖相）**
   - 必须采用**密封、防漏、透气性适中的食品级塑料盒/袋**，防止汁水渗出污染货架。
   - 使用**氮气/真空包装**可延长保质期至2-3天，但成本较高，需根据门店人流决定。
   - 包装上需标注**生产时间、到期时间、贮存温度（0-4℃）**。

3. **配送频次（决定损耗和新鲜感）**
   - 如果门店销量波动大，建议**每日至少配送一次**，甚至**早晚各一次**（尤其是气温高于25℃时）。
   - 配送全程需**冷链（冷藏车/保温箱）**，到店后立即放入冷藏柜，避免常温暴露。
   - 可结合销售数据，设定**安全库存**，宁可少订，每天补货，也不要一次囤多。

**给您的执行建议**：
- 优先做**小分量（100-150g/盒）**包装，单价低，复购率高，损耗更可控。
- 在包装上印**当日切割时间**（如“今日10:00切”），比单纯写保质期更能提升顾客信任。
- 若条件允许，与供应商协商**按“昨日下单、今晨到货”**模式，最大限度保证新鲜度。

总结：**保质期定生死，包装保口感，配送控损耗**。三者需要联动管理，缺一不可。
