供应商介绍时，不要先讲品种名，而是**先说“像什么、怎么用、能卖多少钱”**，把陌生水果翻译成商家熟悉的场景。可按这个顺序说：

1. **一句话定位**
   - “这个可以理解成小号菠萝，但不用削眼，切开就能卖。”
   - “这个像香蕉，但口感更糯，适合做果切和高铁零食。”

2. **对标商家已知品类**
   - 外形像什么：像菠萝/香蕉/橙子/苹果。
   - 吃法像什么：像菠萝一样切块，像香蕉一样剥皮。
   - 用途像什么：适合果切、礼盒、榨汁、奶茶店、烧烤摊、办公室零食。

3. **直接说商家最关心的三件事**
   - 好不好卖：目标客人是谁，什么场景买。
   - 好不好处理：要不要削、要不要催熟、损耗大不大。
   - 赚不赚钱：进货价、建议售价、毛利大概多少。

4. **给试销方案，降低下单压力**
   - “先拿一箱试卖，配个手写牌：像菠萝但不用削，切块即食。”
   - “放在香蕉旁边卖，客人容易理解。”
   - “如果三天卖不动，我教你换成果切盒或搭配礼盒。”

5. **用对比话术，不用专业词**
   - 不说：“这是番荔枝。”
   - 要说：“这个像释迦，但更小，剥皮吃，甜度高，适合做儿童零食。”
   - 不说：“这是燕窝果。”
   - 要说：“这个像火龙果，但更甜，金黄皮，摆礼盒好看，适合送礼。”

6. **介绍模板**
   “老板，这个你可以当成‘不用削皮的菠萝’来卖。客人买回去切开就能吃，也能做果切。进货一箱XX元，建议卖XX元一斤/一个，毛利大概XX%。你先拿一箱放香蕉旁边试卖，我给你配个牌子，卖不动我帮你换成果切方案。”

核心就是：**别教育商家认识新品种，而是帮他把新品种塞进已有认知和销售场景里。** 商家听懂了“像什么、怎么卖、赚多少”，才更容易下单。
