采购菠萝时判断熟度主要依靠**外观、气味和手感**三个方面。以下是具体可操作的方法：

1. **看颜色（优先判断）**  
   - **青色部分越少越好**：成熟的菠萝外皮呈**橙黄色或金黄色**，青色越多说明越生（甜度低、易酸涩）。采购时选**黄色面积超过80%**的，但避免全黄（过熟易在运输中腐烂）。
   - **避免局部深色或软斑**：有黑斑、暗褐色软块说明内部可能坏了，不要采购。

2. **闻气味**  
   - 成熟菠萝有**浓郁甜香**（类似蜂蜜或果糖味），靠近底部（果眼密集处）闻更明显。
   - 无香味→太生；有酒味/发酵味→过熟或腐烂。

3. **触感与硬度（核心检查损耗）**  
   - **手指轻压果身**：成熟菠萝稍微有**弹性、不硬但也不软塌**。太硬（像石头）是生的；一按就凹陷或果皮发软→易腐烂、不耐放。
   - **检查果蒂（顶部叶子）**：叶子翠绿、易拔落是比较新鲜的；叶子干枯或发黄说明存放过久。

4. **额外技巧（降低损耗）**  
   - **选择“九成熟”**：完全金黄的菠萝在店里可能很快卖完，但采购时可以选**八成黄、表面略青**的，这种在常温下放1-2天自然成熟，损耗比全熟的更小。
   - **剔除“水菠萝”**：切开后边缘透明、果肉水渍状的不要采购，易发霉。
   - **轻拿轻放**：菠萝表皮有刺，采摘和运输中磕碰易导致“内部变味”，采购时检查有无明显压伤。

**总结操作：** 菠萝先看黄色占多数，底部有浓郁甜香，果身有弹性但不软，叶子绿而不枯。优先选八成熟左右的，比全熟更耐存、损耗更低。
