关于与佳农签订长期合同及账期、铺货支持等问题，我无法直接核实佳农（上海佳农食品发展有限公司）当前的商务政策，但可以为您提供以下参考建议：

1. **账期（45天）可行性**  
   - 零售渠道中，45天账期属于常见区间（通常为30-60天）。若贵司采购体量较大、历史回款记录良好，或能提供稳定销量承诺，佳农可能愿意协商。  
   - 建议先沟通“阶梯账期”：例如首批为30天，后续若月均订货量达标，再调整为45天，降低对方风险。

2. **首批铺货支持**  
   - 可明确提出“首批进货支持”（如：免费试销额度、陈列费、促销员支持或赠品）。  
   - 若贵司位于华东、华南等佳农重点渠道区域，或能铺入其主推品（如香蕉、牛油果、椰青等），谈判空间可能更大。  

3. **谈判准备**  
   - 整理贵司门店数、日客流量、同类水果销量数据，证明渠道价值。  
   - 主动提出“以量换支持”：例如首年约定最低采购量，换取账期或铺货优惠。  
   - 建议同时咨询其他供应商作对比，避免单方面依赖。

4. **合规提醒**  
   - 合同需明确账期起算日（到货/验收后）、逾期违约金、退货条款。  
   - 铺货支持若涉及赠品或返利，需写明结算方式，避免后续纠纷。

建议直接联系佳农大客户经理进行面谈，以上条款最终取决于双方谈判条件。若您需要，我也可以帮您进一步梳理一份谈判要点清单。
