水果锁价的时间长短通常取决于以下几个因素，没有固定标准，但常见情况如下：

1. **水果品种**：
   - **耐储存水果**（如苹果、梨、柑橘等）：通常可锁价1-3个月。
   - **易腐烂水果**（如草莓、荔枝、芒果等）：锁价周期较短，通常为1-2周。
   
2. **市场波动性**：
   - 如果价格波动大（如极端天气、节日需求等），供应商可能只愿意锁定2-4周。
   - 平稳期（如常规季节）可能延长至1-2个月。

3. **采购量**：
   - 大批量采购（如整车或长期订单），锁价时间更长，可达3个月甚至一季。
   - 小批量采购通常锁价1-2周。

4. **供应商合作关系**：
   - 长期稳定合作、信誉好的供应商，可能愿意锁价更久（3-6个月）。
   - 临时或新供应商，锁价期较短，一般不超过1个月。

5. **锁价协议条款**：
   - 可明确约定“价格调整机制”，例如只锁定基础价，运费或包装费另议。
   - 部分协议能提前终止（如市场价大幅下跌时，双方协商调整）。

**建议行动**：
- 首先与供应商明确锁价期限（如“1个月”或“每周议价一次”），并写入合同。
- 对于易腐水果，可尝试“阶梯式锁价”（例如锁价2周后重新协商）。
- 大宗采购时，要求供应商提供“保价期”并注明违约赔偿条款。

如果需要更具体的案例或补充信息，可以进一步说明水果类型和采购规模。
